vlen,elen,workload_type,dataset_type,distance_type,dimension,num_points,num_queries,top_k,SimSecond,SimTick,SimIns,SimOp,HstInsRate,HstOpRate,CPU_CPI,CPU_IPC,L1i_TotHits,L1i_TotMisses,L1i_TotMissRate,L1i_TotAvgMissLat,L1d_TotHits,L1d_TotMisses,L1d_TotMissRate,L1d_TotAvgMissLat,L1d_ReadReqHits,L1d_ReadReqMisses,L1d_ReadReqMissRate,L1d_ReadReqAvgMissLat,L1d_WriteReqHits,L1d_WriteReqMisses,L1d_WriteReqMissRate,L1d_WriteReqAvgMissLat,L2_TotHits,L2_TotMisses,L2_TotMissRate,L2_TotAvgMissLat
1024,64,rv,random,euclidean,4096,1000,100,100,1.514102,1514101587012,1898355053,1898583194,25864,25867,0.957486,1.044401,113002544,10792,0.000095,45395.721275,467798411,389510320,0.454341,83779.319179,437208948,386266274,0.469068,84111.485745,30453526,3243981,0.096268,44228.813388,120028941,149136468,0.554070,107501.389949
1024,64,rvv,random,euclidean,16,1000,100,5,0.114994,114994437985,228539230,228543713,16583,16584,0.604047,1.655499,67396121,2651,0.000039,58361.532252,78269093,2425554,0.030058,29376.176319,54210331,1886796,0.033634,27458.861742,24058702,538625,0.021898,36091.206095,1131002,32474,0.027911,81989.706719
1024,64,rvv,random,euclidean,512,1000,100,1,0.204529,204529242232,444052612,444084953,17860,17862,0.552937,1.808523,83888417,2673,0.000032,61410.143659,159852266,32561729,0.169227,42568.619883,130545682,31405733,0.193921,42879.233693,29289592,1155930,0.037967,34130.097247,23650887,180199,0.007562,84170.153036
1024,64,rvv,random,euclidean,1024,1000,100,10,0.351451,351451082479,620708940,620769029,18558,18559,0.679723,1.471188,87393863,2720,0.000031,60383.618750,211948172,67224702,0.240800,66166.363577,182582341,65751448,0.264770,66779.681687,29331847,1473188,0.047823,38794.240389,31194675,16696343,0.348632,102565.859320
1024,64,rv,random,euclidean,512,1000,100,50,0.209668,209668170838,461962022,461994363,17709,17710,0.544855,1.835349,93053507,2692,0.000029,59686.059064,163701480,34317203,0.173303,41858.420567,133778125,33117665,0.198433,42144.078909,29906363,1199472,0.038561,33972.083498,25589177,201976,0.007831,85762.395389
1024,64,rv,random,euclidean,32,1000,100,1,0.120993,120993420765,237123633,237127790,15892,15892,0.612551,1.632518,78915169,2616,0.000033,56188.652141,84786166,3729375,0.042132,28971.486331,59235661,3065059,0.049198,27908.575518,25549501,664191,0.025338,33874.450250,2009201,33086,0.016200,81515.088466
1024,64,rv,random,euclidean,512,1000,100,5,0.203753,203753176116,450533325,450565666,16913,16915,0.542916,1.841906,91140724,2659,0.000029,59180.906356,159594531,32733885,0.170198,41797.540601,130290135,31564059,0.195015,42073.838232,29287404,1169760,0.038407,34342.843099,24361036,183204,0.007464,85417.915286
1024,64,rv,random,euclidean,4096,1000,100,50,1.470620,1470620111562,1856993437,1857221578,25320,25323,0.950704,1.051853,110110351,10230,0.000093,45444.669208,456772075,381188699,0.454900,83151.426167,426898907,378010393,0.469631,83478.137637,29737232,3178240,0.096558,44294.361214,119882552,143593004,0.544996,107483.280121
1024,64,rv,random,euclidean,4096,1000,100,5,1.411913,1411912509000,1801224269,1801452410,24881,24884,0.941012,1.062686,107831406,10308,0.000096,45337.487679,442604901,369447495,0.454955,82161.245533,413347003,366326447,0.469846,82481.540986,29121962,3120982,0.096796,44567.466639,119629102,135674314,0.531424,107448.838292
1024,64,rv,random,euclidean,128,1000,100,1,0.148560,148559818960,291510076,291520303,15747,15747,0.611791,1.634546,85958456,2587,0.000030,57298.614998,105607453,11194307,0.095840,33797.633870,77716409,10299109,0.117015,33926.439339,27886924,895004,0.031096,32312.281824,9162219,41876,0.004550,79393.071664
