vlen,elen,workload_type,dataset_type,distance_type,dimension,num_points,num_queries,top_k,SimSecond,SimTick,SimIns,SimOp,HstInsRate,HstOpRate,CPU_CPI,CPU_IPC,L1i_TotHits,L1i_TotMisses,L1i_TotMissRate,L1i_TotAvgMissLat,L1d_TotHits,L1d_TotMisses,L1d_TotMissRate,L1d_TotAvgMissLat,L1d_ReadReqHits,L1d_ReadReqMisses,L1d_ReadReqMissRate,L1d_ReadReqAvgMissLat,L1d_WriteReqHits,L1d_WriteReqMisses,L1d_WriteReqMissRate,L1d_WriteReqAvgMissLat,L2_TotHits,L2_TotMisses,L2_TotMissRate,L2_TotAvgMissLat
128,64,rv,random,euclidean,4096,1000,100,100,17.019029,17019029304977,32192559874,32192564871,384171,384171,0.634650,1.575672,128702405,8744,0.000068,54057.832228,7856988923,239792848,0.029616,35080.336465,7827254378,233865297,0.029012,35058.223778,29734545,5927551,0.166214,35952.769298,377331174,18010006,0.045556,83201.748071
128,64,rv,random,euclidean,32,1000,100,1,0.209361,209361232829,416095115,416100128,124229,124230,0.604030,1.655546,85879759,3279,0.000038,49578.107350,119268327,12975094,0.098115,24475.287026,93769687,12167523,0.114856,23967.198973,25498640,807571,0.030699,32130.555820,2568299,29333,0.011292,80811.346845
128,64,rv,random,euclidean,4096,1000,100,50,16.645407,16645406945391,31495341572,31495346569,395452,395452,0.634458,1.576148,125023416,8561,0.000068,52367.978741,7691424835,229163695,0.028933,35208.514223,7662338279,223410096,0.028331,35185.670350,29086556,5753599,0.165143,36095.533289,370021421,17335786,0.044754,83197.115547
128,64,rv,random,euclidean,4096,1000,100,5,16.113382,16113381971372,30495970654,30495975651,385334,385334,0.634307,1.576525,122674211,8740,0.000071,52322.979291,7447513337,221520748,0.028885,34904.856854,7418981152,215920616,0.028281,34867.300026,28532185,5600132,0.164071,36352.910814,358771530,16401399,0.043717,83059.276966
128,64,rv,random,euclidean,128,1000,100,1,0.566976,566976023838,1109088246,1109093329,199888,199889,0.613696,1.629470,93379326,3281,0.000035,48844.113990,297159486,10956655,0.035560,25073.235415,269257640,9941507,0.035607,24453.946465,27901846,1015148,0.035106,31138.031322,8837675,37902,0.004270,77077.028389
128,64,rv,random,euclidean,2048,1000,100,1,8.143565,8143564690632,15440696204,15440701193,342981,342981,0.633144,1.579419,109071854,8758,0.000080,52674.932861,3852970056,45079220,0.011565,52659.635628,3823173088,42442459,0.010979,53535.658631,29796968,2636761,0.081297,38558.785990,124656316,8004601,0.060339,82554.213829
128,64,rv,random,euclidean,128,1000,100,5,0.567011,567011257239,1109168845,1109173928,180825,180826,0.613690,1.629487,93399549,3288,0.000035,48697.818431,297191544,10959887,0.035567,25074.835236,269274835,9945202,0.035618,24455.843003,27916709,1014685,0.035072,31141.745449,8838152,37899,0.004270,77138.078788
128,64,rv,random,euclidean,3072,1000,100,50,12.436069,12436069232573,23564942379,23564947420,376617,376617,0.633537,1.578441,115877263,8999,0.000078,51944.339704,5856783101,75751899,0.012769,52610.024481,5826247919,72399362,0.012274,53226.048404,30535182,3352537,0.098931,39306.744308,193593417,13231291,0.063973,83168.173479
128,64,rv,random,euclidean,2048,1000,100,100,8.595094,8595093986640,16285145080,16285150069,346851,346851,0.633598,1.578287,114058508,12806,0.000112,48556.627675,4063813834,48245703,0.011733,54090.428789,4032604190,45496752,0.011156,55028.470148,31209644,2748951,0.080950,38565.293895,130856348,8912148,0.063764,82744.901042
128,64,rv,random,euclidean,16,1000,100,5,0.154452,154451747912,300607846,300613971,111547,111549,0.616804,1.621259,81790522,3063,0.000037,51442.577212,93292196,9355602,0.091143,25616.784285,69390938,8571851,0.109948,25001.125291,23901258,783751,0.031750,32350.220242,1804967,29375,0.016014,81608.575489
