metric,m5out-rv-random-euclidean-4096-1000-100-top100,m5out-rv-random-euclidean-32-1000-100-top1,m5out-rv-random-euclidean-4096-1000-100-top50,m5out-rv-random-euclidean-4096-1000-100-top5,m5out-rv-random-euclidean-128-1000-100-top1,m5out-rv-random-euclidean-2048-1000-100-top1,m5out-rv-random-euclidean-128-1000-100-top5,m5out-rv-random-euclidean-3072-1000-100-top50,m5out-rv-random-euclidean-2048-1000-100-top100,m5out-rv-random-euclidean-16-1000-100-top5,m5out-rv-random-euclidean-64-1000-100-top100,m5out-rv-random-euclidean-1024-1000-100-top100,m5out-rv-random-euclidean-64-1000-100-top10,m5out-rv-random-euclidean-128-1000-100-top100,m5out-rv-random-euclidean-8-1000-100-top50,m5out-rv-random-euclidean-2048-1000-100-top5,m5out-rv-random-euclidean-3072-1000-100-top5,m5out-rv-random-euclidean-32-1000-100-top50,m5out-rv-random-euclidean-64-1000-100-top50,m5out-rv-random-euclidean-128-1000-100-top50,m5out-rv-random-euclidean-8-1000-100-top1,m5out-rv-random-euclidean-8-1000-100-top10,m5out-rv-random-euclidean-16-1000-100-top50,m5out-rv-random-euclidean-3072-1000-100-top10,m5out-rv-random-euclidean-2048-1000-100-top10,m5out-rv-random-euclidean-256-1000-100-top100,m5out-rv-random-euclidean-4096-1000-100-top1,m5out-rv-random-euclidean-16-1000-100-top10,m5out-rv-random-euclidean-512-1000-100-top100,m5out-rv-random-euclidean-128-1000-100-top10,m5out-rv-random-euclidean-16-1000-100-top100,m5out-rv-random-euclidean-32-1000-100-top100,m5out-rv-random-euclidean-256-1000-100-top10,m5out-rv-random-euclidean-4096-1000-100-top10,m5out-rv-random-euclidean-256-1000-100-top1,m5out-rv-random-euclidean-8-1000-100-top5,m5out-rv-random-euclidean-256-1000-100-top50,m5out-rv-random-euclidean-64-1000-100-top5,m5out-rv-random-euclidean-64-1000-100-top1,m5out-rv-random-euclidean-32-1000-100-top10,m5out-rv-random-euclidean-3072-1000-100-top100,m5out-rv-random-euclidean-32-1000-100-top5,m5out-rv-random-euclidean-2048-1000-100-top50,m5out-rv-random-euclidean-256-1000-100-top5,m5out-rv-random-euclidean-8-1000-100-top100,m5out-rv-random-euclidean-3072-1000-100-top1,m5out-rv-random-euclidean-16-1000-100-top1
SimSecond,17.019029,0.209361,16.645407,16.113382,0.566976,8.143565,0.567011,12.436069,8.595094,0.154452,0.345041,4.307342,0.325298,0.600970,0.133855,8.143578,12.030556,0.215533,0.335693,0.585805,0.131150,0.131188,0.158385,12.030461,8.143560,1.126086,16.113319,0.154474,2.206036,0.567029,0.162640,0.221620,1.062040,16.113460,1.062006,0.131179,1.097232,0.325289,0.325256,0.209409,12.717982,0.209389,8.407589,1.062047,0.137019,12.030543,0.154424
SimTick,17019029304977,209361232829,16645406945391,16113381971372,566976023838,8143564690632,567011257239,12436069232573,8595093986640,154451747912,345040774295,4307342147024,325297818804,600969855864,133854855799,8143577648780,12030556464255,215533138912,335692594230,585804907604,131149570013,131187919667,158384724925,12030461461438,8143560487314,1126085708804,16113319094033,154473955692,2206036214907,567028974316,162639582301,221620441350,1062040200592,16113459936007,1062005818517,131178687528,1097231552585,325289452152,325256180466,209408584714,12717982358032,209388830952,8407588737919,1062047455189,137018991305,12030543237881,154423820754
SimIns,32192559874,416095115,31495341572,30495970654,1109088246,15440696204,1109168845,23564942379,16285145080,300607846,678134295,8185335575,641365695,1172959326,257823762,15440776868,22802851762,427929523,661317702,1145031841,253071816,253203322,307835928,22802902701,15440827733,2177165866,30495889990,300658761,4231989426,1109219770,315132093,438729994,2060215433,30496021473,2060083829,253152416,2127351134,641314853,641234261,416226630,24091535966,416175714,15935781110,2060164532,263016451,22802771215,300527246
SimOp,32192564871,416100128,31495346569,30495975651,1109093329,15440701193,1109173928,23564947420,16285150069,300613971,678139350,8185340520,641370750,1172964409,257830017,15440781857,22802856803,427934536,661322757,1145036924,253078071,253209577,307842053,22802907742,15440832722,2177171141,30495894987,300664886,4231994623,1109224853,315138218,438735007,2060220708,30496026470,2060089104,253158671,2127356409,641319908,641239316,416231643,24091541007,416180727,15935786099,2060169807,263022706,22802776256,300533371
HstInsRate,384171,124229,395452,385334,199888,342981,180825,376617,346851,111547,146353,470841,143704,170828,104956,342671,371194,122221,144037,186791,106873,104840,110100,367953,334086,232395,384059,101120,465953,167491,110726,125210,220781,387252,226809,102522,215601,142531,143787,122574,372015,124919,340180,200579,106316,366970,108745
HstOpRate,384171,124230,395452,385334,199889,342981,180826,376617,346851,111549,146354,470841,143705,170828,104959,342671,371194,122223,144038,186791,106876,104842,110102,367953,334087,232396,384059,101122,465954,167492,110728,125211,220781,387252,226810,102525,215602,142532,143788,122576,372015,124920,340181,200579,106318,366970,108747
CPU_CPI,0.634650,0.604030,0.634458,0.634307,0.613696,0.633144,0.613690,0.633537,0.633598,0.616804,0.610815,0.631725,0.608878,0.615070,0.623256,0.633142,0.633361,0.604640,0.609378,0.614173,0.622126,0.621984,0.617659,0.633355,0.633139,0.620919,0.634306,0.616789,0.625782,0.613681,0.619567,0.606412,0.618847,0.634309,0.618867,0.622066,0.619176,0.608911,0.608925,0.603976,0.633737,0.603993,0.633364,0.618867,0.625393,0.633363,0.616858
CPU_IPC,1.575672,1.655546,1.576148,1.576525,1.629470,1.579419,1.629487,1.578441,1.578287,1.621259,1.637157,1.582968,1.642365,1.625830,1.604478,1.579425,1.578878,1.653877,1.641018,1.628207,1.607392,1.607758,1.619016,1.578894,1.579433,1.610516,1.576527,1.621301,1.598001,1.629511,1.614029,1.649045,1.615908,1.576520,1.615857,1.607547,1.615050,1.642277,1.642238,1.655695,1.577943,1.655649,1.578872,1.615857,1.598995,1.578874,1.621118
L1i_TotHits,128702405,85879759,125023416,122674211,93379326,109071854,93399549,115877263,114058508,81790522,93947512,108744282,89986205,97542563,80991991,109083306,113676510,87520125,91671146,95186172,79585080,79613240,83301714,113685388,109094288,100952594,122652607,81802185,106181167,93406350,85237405,89634964,96157687,122653275,96154395,79605247,97983311,89981856,89962994,85908029,119013119,85898609,111192299,96173974,82721104,113659952,81773975
L1i_TotMisses,8744,3279,8561,8740,3281,8758,3288,8999,12806,3063,4036,7044,4017,3328,2993,8757,8948,3306,4047,3292,2953,2972,3072,8972,8747,4172,8740,3057,5540,3289,3093,3326,3386,8500,3399,2957,3383,4003,4000,3297,8603,3286,8781,3398,3016,8948,3057
