metric,m5out-rv-random-euclidean-4096-1000-100-top100,m5out-rv-random-euclidean-32-1000-100-top1,m5out-rv-random-euclidean-4096-1000-100-top50,m5out-rv-random-euclidean-4096-1000-100-top5,m5out-rv-random-euclidean-128-1000-100-top1,m5out-rv-random-euclidean-2048-1000-100-top1,m5out-rv-random-euclidean-128-1000-100-top5,m5out-rv-random-euclidean-3072-1000-100-top50,m5out-rv-random-euclidean-2048-1000-100-top100,m5out-rv-random-euclidean-16-1000-100-top5,m5out-rv-random-euclidean-64-1000-100-top100,m5out-rv-random-euclidean-1024-1000-100-top100,m5out-rv-random-euclidean-3072-1000-100-top100-part,m5out-rv-random-euclidean-64-1000-100-top10,m5out-rv-random-euclidean-128-1000-100-top100,m5out-rv-random-euclidean-4096-1000-100-top100-part,m5out-rv-random-euclidean-8-1000-100-top50,m5out-rv-random-euclidean-2048-1000-100-top5,m5out-rv-random-euclidean-3072-1000-100-top5,m5out-rv-random-euclidean-32-1000-100-top50,m5out-rv-random-euclidean-64-1000-100-top50,m5out-rv-random-euclidean-128-1000-100-top50,m5out-rv-random-euclidean-8-1000-100-top1,m5out-rv-random-euclidean-8-1000-100-top10,m5out-rv-random-euclidean-16-1000-100-top50,m5out-rv-random-euclidean-3072-1000-100-top10,m5out-rv-random-euclidean-2048-1000-100-top10,m5out-rv-random-euclidean-2048-1000-100-top100-part,m5out-rv-random-euclidean-256-1000-100-top100,m5out-rv-random-euclidean-4096-1000-100-top1,m5out-rv-random-euclidean-16-1000-100-top10,m5out-rv-random-euclidean-512-1000-100-top100,m5out-rv-random-euclidean-128-1000-100-top10,m5out-rv-random-euclidean-16-1000-100-top100,m5out-rv-random-euclidean-32-1000-100-top100,m5out-rv-random-euclidean-256-1000-100-top10,m5out-rv-random-euclidean-4096-1000-100-top10,m5out-rv-random-euclidean-256-1000-100-top1,m5out-rv-random-euclidean-8-1000-100-top5,m5out-rv-random-euclidean-256-1000-100-top50,m5out-rv-random-euclidean-64-1000-100-top5,m5out-rv-random-euclidean-64-1000-100-top1,m5out-rv-random-euclidean-32-1000-100-top10,m5out-rv-random-euclidean-3072-1000-100-top100,m5out-rv-random-euclidean-32-1000-100-top5,m5out-rv-random-euclidean-2048-1000-100-top50,m5out-rv-random-euclidean-256-1000-100-top5,m5out-rv-random-euclidean-8-1000-100-top100,m5out-rv-random-euclidean-3072-1000-100-top1,m5out-rv-random-euclidean-16-1000-100-top1
SimSecond,N/A,0.209366,16.644409,16.112448,0.566983,8.143482,0.567017,12.436085,8.594349,0.154452,0.345041,4.307401,6.872473,0.325300,0.600975,6.778627,0.133864,8.143515,12.030512,0.215521,0.335703,0.585813,0.131154,0.131198,0.158378,12.030489,8.143518,6.810062,1.123932,16.112400,0.154468,2.206028,0.567043,0.162630,0.221670,1.064211,16.112487,1.062005,0.131183,1.099403,0.325289,0.325256,0.209406,12.716791,0.209394,8.407533,1.062033,0.137026,12.030466,0.154424
SimTick,N/A,209366366608,16644409119681,16112448429938,566982696168,8143482300268,567017412276,12436084896305,8594349283807,154451565485,345040730979,4307401014301,6872472510960,325300008761,600974560648,6778627353211,133863763901,8143515369535,12030512099508,215521022927,335702635212,585812763627,131154089038,131198181394,158378085082,12030489286137,8143518453301,6810061724431,1123931669098,16112399745253,154467981416,2206028254759,567043433530,162629744571,221670091482,1064210767018,16112486599664,1062005117131,131182937494,1099402857049,325289331367,325255708155,209405889959,12716790962281,209393706501,8407533457540,1062032838538,137026368353,12030465888833,154423699136
SimIns,N/A,416094808,31495341215,30495970251,1109087834,15440695925,1109168497,23564941915,16285144648,300607174,678133952,8185335375,13042857570,641365415,1172958983,12850862136,257823089,15440776525,22802851325,427929324,661317422,1145031435,253071143,253202657,307835242,22802902295,15440827351,12920025623,2177165420,30495889651,300658089,4231989152,1109219364,315131357,438729616,2060214992,30496021179,2060083486,253151743,2127350670,641314510,641233918,416226431,24091535627,416175401,15935780563,2060164150,263015834,22802770788,300526582
SimOp,N/A,416099083,31495345474,30495974510,1109092179,15440700176,1109172842,23564946218,16285148899,300611887,678138269,8185339582,13042859296,641369732,1172963328,12850863626,257827932,15440780776,22802855628,427933599,661321739,1145035780,253075986,253207500,307839955,22802906598,15440831602,12920027713,2177169957,30495893910,300662802,4231993611,1109223709,315136070,438733891,2060219529,30496025438,2060088023,253156586,2127355207,641318827,641238235,416230706,24091539930,416179676,15935784814,2060168687,263020677,22802775091,300531295
HstInsRate,N/A,146733,412963,409274,221385,379640,230076,409695,427284,116561,350939,459348,490944,148393,398806,483717,112787,382245,396937,133738,162020,224085,109522,113702,116032,396142,377447,486320,446001,401659,116740,468754,217601,278997,314389,263760,410718,282835,113018,259376,170574,168089,138219,445529,134461,378911,257126,267706,399912,116136
HstOpRate,N/A,146734,412963,409274,221386,379640,230077,409695,427284,116563,350941,459349,490944,148394,398807,483717,112789,382245,396937,133740,162021,224085,109524,113705,116034,396142,377447,486320,446002,401659,116742,468754,217602,279001,314392,263760,410718,282835,113020,259376,170575,168090,138221,445529,134463,378911,257127,267711,399912,116138
CPU_CPI,N/A,0.604045,0.634420,0.634270,0.613704,0.633138,0.613697,0.633537,0.633543,0.616805,0.610815,0.631733,0.632551,0.608883,0.615075,0.633234,0.623299,0.633137,0.633359,0.604606,0.609396,0.614181,0.622149,0.622035,0.617635,0.633356,0.633135,0.632765,0.619731,0.634270,0.616766,0.625780,0.613697,0.619531,0.606548,0.620112,0.634270,0.618866,0.622087,0.620401,0.608911,0.608924,0.603968,0.633677,0.604007,0.633359,0.618858,0.625428,0.633359,0.616859
CPU_IPC,N/A,1.655505,1.576242,1.576616,1.629450,1.579435,1.629469,1.578439,1.578424,1.621258,1.637156,1.582946,1.580901,1.642353,1.625817,1.579194,1.604367,1.579437,1.578883,1.653969,1.640968,1.628184,1.607333,1.607628,1.619080,1.578890,1.579441,1.580365,1.613602,1.576617,1.621360,1.598006,1.629469,1.614123,1.648674,1.612612,1.576615,1.615858,1.607491,1.611860,1.642276,1.642240,1.655716,1.578091,1.655609,1.578882,1.615879,1.598905,1.578884,1.621115
L1i_TotHits,N/A,85879713,124850360,122438394,93383264,108979164,93403170,115885687,113947396,81791774,93948587,108731964,70843793,89985431,97542985,58272610,80992772,109000738,113698659,87506259,91677891,95186212,79585687,79614289,83301526,113684862,108988619,94492516,100462576,122413070,81802064,106180629,93406208,85230955,89654961,96654186,122459840,96153183,79605918,98486054,89981693,89962767,85906206,118685576,85898517,111085080,96163183,82719617,113671044,81775328
L1i_TotMisses,N/A,3270,7022,6706,3292,7655,3299,8974,7374,3051,4040,7406,4987,4018,3304,3502,2987,7666,8959,3288,4053,3282,2955,2972,3063,8935,7611,10772,3397,6702,3045,5546,3270,3092,3319,4132,6987,3394,2963,4149,3998,3995,3270,12367,3271,7650,3397,3013,8960,3039
L1i_TotMissRate,N/A,0.000038,0.000056,0.000055,0.000035,0.000070,0.000035,0.000077,0.000065,0.000037,0.000043,0.000068,0.000070,0.000045,0.000034,0.000060,0.000037,0.000070,0.000079,0.000038,0.000044,0.000034,0.000037,0.000037,0.000037,0.000079,0.000070,0.000114,0.000034,0.000055,0.000037,0.000052,0.000035,0.000036,0.000037,0.000043,0.000057,0.000035,0.000037,0.000042,0.000044,0.000044,0.000038,0.000104,0.000038,0.000069,0.000035,0.000036,0.000079,0.000037
L1i_TotAvgMissLat,N/A,48936.584709,55133.876104,54775.774530,48644.973269,53479.361724,48636.190967,52631.787832,54982.405614,51266.221894,42898.056683,44870.985822,52336.352717,43697.878049,48858.072034,55604.771845,53342.676264,53450.652231,52385.648956,48910.121959,43895.174439,49059.689823,53514.400677,53733.264805,51133.363696,52696.409737,52836.015635,47398.875418,49073.189873,54743.213817,51364.229885,39360.676884,49407.853823,50363.093790,48094.644170,43802.655857,55359.985401,49371.325869,52992.350658,43752.275970,43732.083292,43689.442553,48687.958410,48489.800922,48919.077346,52812.744444,49140.869591,51853.904414,52260.616406,51104.920039
L1d_TotHits,N/A,119262116,7691409023,7447426290,297155092,3852949824,297187856,5856789640,4063774063,93290000,190846727,2055315692,3244137333,180152388,314662645,3141868188,85178012,3852985355,5667616229,122575626,185797721,306846305,83336280,83398096,95668600,5667643318,3853001006,3224966814,565753224,7447390977,93318275,1076914284,297216108,98189995,125897723,535160619,7447514828,534885874,83369831,552646024,180133693,180099762,119332722,5988248058,119294464,3976339744,534919144,87163152,5667590735,93253872
L1d_TotMisses,N/A,12982076,229051827,221465994,10959691,45070986,10962893,75738652,48201236,9359246,10878625,29352462,40855744,10175741,11739764,91402479,6384744,45075150,72960194,13573708,10520906,11352384,6228876,6227702,9720423,72958923,45083279,37493603,13304307,221467171,9357514,17693213,10964116,10063139,14066195,12414986,221412779,12425305,6229103,12858768,10169589,10166907,12979569,77595959,12983090,46824996,12429461,6581384,72955885,9358870
L1d_TotMissRate,N/A,0.098167,0.028919,0.028878,0.035570,0.011563,0.035576,0.012767,0.011722,0.091177,0.053928,0.014080,0.012437,0.053464,0.035967,0.028269,0.069731,0.011563,0.012710,0.099697,0.053591,0.035677,0.069546,0.069486,0.092234,0.012709,0.011565,0.011492,0.022976,0.028879,0.091137,0.016164,0.035577,0.092959,0.100499,0.022673,0.028871,0.022702,0.069522,0.022739,0.053439,0.053435,0.098098,0.012792,0.098150,0.011639,0.022708,0.070206,0.012709,0.091206
L1d_TotAvgMissLat,N/A,24475.622032,35196.361486,34898.964958,25071.897135,52678.416701,25073.250873,52624.711095,54072.834252,25601.322054,24990.373808,40414.099911,49175.779656,25053.186719,25025.731861,33352.266544,26358.693012,52671.658643,51913.475951,24410.125006,25011.131182,25045.293549,26375.147927,26370.673371,25564.997929,51915.792608,52693.417262,51144.007559,25054.345933,34898.786926,25605.498049,24814.759153,25087.772967,25546.764573,24422.591243,25083.004019,34902.469458,25110.918112,26375.565228,25043.015344,25076.592889,25075.141111,24470.838536,53199.388356,24475.893504,53534.420318,25112.507630,26360.110963,51913.516240,25601.137449
L1d_ReadReqHits,N/A,93765399,7662322261,7418895918,269255720,3823151992,269273620,5826255445,4032622460,69393406,162742551,2024430223,3224824001,153368009,285369827,3127352386,61438350,3823172969,5637717128,96481130,158408879,278293874,60080656,60114961,71231539,5637735817,3823179491,3198973588,535642632,7418877888,69408280,1046149560,269289543,73128817,99118121,506455337,7418976678,506202318,60099804,523300990,153362202,153343345,93810792,5956989648,93783230,3945889496,506221332,62882758,5637706570,69371771
L1d_ReadReqMisses,N/A,12172861,223298717,215864338,9942358,42435366,9946018,72385423,45394528,8571469,9928416,27395150,38678660,9280543,10667092,88476095,5553678,42439684,69674199,12738034,9598794,10308040,5407813,5409049,8916488,69670622,42446248,35170890,12055609,215862632,8572437,16205473,9948873,9245197,13210527,11222224,215808198,11235917,5408043,11636437,9272203,9268846,12170457,74150873,12173993,44134937,11239923,5740063,69669348,8570999
L1d_ReadReqMissRate,N/A,0.114905,0.028317,0.028274,0.035610,0.010978,0.035621,0.012272,0.011132,0.109940,0.057499,0.013352,0.011852,0.057059,0.036033,0.027513,0.082901,0.010979,0.012208,0.116628,0.057133,0.035717,0.082577,0.082551,0.111250,0.012207,0.010980,0.010875,0.022011,0.028274,0.109930,0.015254,0.035629,0.112234,0.117606,0.021678,0.028266,0.021715,0.082556,0.021753,0.057013,0.057000,0.114836,0.012295,0.114895,0.011061,0.021721,0.083647,0.012207,0.109965
L1d_ReadReqAvgMissLat,N/A,23966.507565,35176.251840,34862.110781,24452.981925,53554.553865,24454.637497,53237.884746,55063.475515,25000.579328,24390.692855,40734.469263,49628.084934,24419.236753,24425.166368,33198.990733,25500.924690,53546.819973,52494.473271,23922.747332,24391.993744,24429.486916,25489.625508,25489.768060,24979.816861,52499.918958,53565.235073,51935.813759,24425.603605,34862.065656,25001.790644,24149.080794,24456.591533,24980.438679,23949.470270,24418.023453,34868.941969,24445.927992,25490.149987,24394.809634,24421.623986,24419.887718,23967.750602,53868.923987,23966.846942,54449.008271,24447.847500,25527.298114,52494.808926,25000.311280
L1d_WriteReqHits,N/A,25496717,29086762,28530372,27899372,29797832,27914236,30534195,31151603,23896594,28104176,30885469,19313332,26784379,29292818,14515802,23739662,29812386,29899101,26094496,27388842,28552431,23255624,23283135,24437061,29907501,29821515,25993226,30110592,28513089,23909995,30764724,27926565,25061178,26779602,28705282,28538150,28683556,23270027,29345034,26771491,26756417,25521930,31258410,25511234,30450248,28697812,24280394,29884165,23882101
L1d_WriteReqMisses,N/A,809215,5753110,5601656,1017333,2635620,1016875,3353229,2806708,787777,950209,1957312,2177084,895198,1072672,2926384,831066,2635466,3285995,835674,922112,1044344,821063,818653,803935,3288301,2637031,2322713,1248698,5604539,785077,1487740,1015243,817942,855668,1192762,5604581,1189388,821060,1222331,897386,898061,809112,3445086,809097,2690059,1189538,841321,3286537,787871
L1d_WriteReqMissRate,N/A,0.030762,0.165130,0.164117,0.035181,0.081262,0.035148,0.098952,0.082652,0.031914,0.032704,0.059596,0.101305,0.032341,0.035325,0.167776,0.033823,0.081222,0.099020,0.031031,0.032571,0.035286,0.034102,0.033966,0.031850,0.099058,0.081243,0.082028,0.039819,0.164271,0.031791,0.046128,0.035079,0.031606,0.030963,0.039894,0.164152,0.039815,0.034081,0.039988,0.032433,0.032474,0.030728,0.099272,0.030740,0.081172,0.039801,0.033490,0.099080,0.031936
L1d_WriteReqAvgMissLat,N/A,32134.130130,35976.888593,36319.170444,31120.532719,38571.982074,31123.886173,39388.265253,38050.614423,32137.750070,31256.239489,35930.110417,41140.002412,31625.363952,30998.002383,37986.396990,32090.811833,38578.678385,39594.369288,31839.138462,31456.088759,31123.520083,32207.513598,32191.039257,32055.273839,39539.660946,38660.440386,39154.352041,31124.566005,36313.131614,32197.518566,32065.779276,31273.034946,31947.945168,31727.033373,31339.542096,36193.468214,31392.950382,32207.494315,31213.851977,31844.031457,31837.981035,32038.159336,38788.528489,32135.209105,38529.068504,31392.869156,32042.125581,39591.037457,32137.334994
L2_TotHits,N/A,2566210,370023688,358778604,8837724,124655959,8838147,193587587,130905223,1805065,6575655,62662052,108666861,6078996,9566721,152026405,1432822,124656510,187999422,2671526,6354636,9255593,1399141,1399792,1868421,187997433,124657658,104693827,15217975,358778496,1805437,29258270,8838728,1926026,2753896,14037271,358783833,14035071,1399171,14721158,6078383,6078235,2568591,197459900,2566320,128293619,14035827,1474282,187998479,1805035
L2_TotMisses,N/A,29181,17334789,16397824,37844,8003108,37842,13234391,8906219,29189,30165,3273329,6376833,30341,38548,6013712,29431,8003429,12465199,28940,30340,38538,29625,29414,29228,12467076,8002872,6337649,53045,16397846,29232,140328,38557,29296,30202,53086,16396923,52367,29629,53115,30956,30960,28953,13778085,29174,8526480,52361,29605,12465383,29191
L2_TotMissRate,N/A,0.011243,0.044751,0.043707,0.004264,0.060328,0.004263,0.063989,0.063702,0.015913,0.004566,0.049644,0.055430,0.004966,0.004013,0.038052,0.020127,0.060330,0.062182,0.010717,0.004752,0.004146,0.020735,0.020581,0.015402,0.062191,0.060326,0.057080,0.003474,0.043707,0.015933,0.004773,0.004343,0.014983,0.010848,0.003768,0.043704,0.003717,0.020737,0.003595,0.005067,0.005068,0.011146,0.065225,0.011240,0.062319,0.003717,0.019686,0.062183,0.015915
L2_TotAvgMissLat,N/A,81050.769233,83142.250436,83036.207863,76608.484330,82564.172449,76622.373368,83201.489651,82769.572179,80700.820035,80147.219758,81192.582657,82716.076735,80139.776639,77261.145247,82375.495958,81500.199280,82556.621586,83102.096843,80795.384174,80221.078148,76688.510016,81293.751021,81542.205786,80885.150814,83121.580529,82625.304265,82369.490914,73067.514393,83038.577981,80901.068452,69812.621879,76690.298260,80943.840319,80775.919542,72878.504559,83038.162962,73930.033876,81255.027237,72935.712115,80860.529429,80792.800097,80795.731081,83261.173685,81077.897820,82718.509595,73980.918795,81857.237190,83102.196221,80689.298311
