vlen,elen,workload_type,dataset_type,distance_type,dimension,num_points,num_queries,top_k,SimSecond,SimTick,SimIns,SimOp,HstInsRate,HstOpRate,CPU_CPI,CPU_IPC,L1i_TotHits,L1i_TotMisses,L1i_TotMissRate,L1i_TotAvgMissLat,L1d_TotHits,L1d_TotMisses,L1d_TotMissRate,L1d_TotAvgMissLat,L1d_ReadReqHits,L1d_ReadReqMisses,L1d_ReadReqMissRate,L1d_ReadReqAvgMissLat,L1d_WriteReqHits,L1d_WriteReqMisses,L1d_WriteReqMissRate,L1d_WriteReqAvgMissLat,L2_TotHits,L2_TotMisses,L2_TotMissRate,L2_TotAvgMissLat
1024,64,rvv,random,euclidean,16,1000,100,5,0.119908,119908334140,228539157,228543640,31414,31415,0.629860,1.587655,69681996,2678,0.000038,57331.116131,78139336,3852496,0.046986,28364.518773,54314953,3079366,0.053653,27276.004304,23824331,772989,0.031426,32699.452312,1771796,32646,0.018092,83001.419500
1024,64,rvv,random,euclidean,512,1000,100,1,0.221078,221078158350,444052698,444085039,33904,33906,0.597677,1.673145,86901859,2753,0.000032,60585.091537,154983770,39384755,0.202629,42204.819249,125950847,37955091,0.231566,42551.791589,29015931,1429598,0.046956,32993.165416,28711610,179731,0.006221,84043.788328
1024,64,rvv,random,euclidean,1024,1000,100,10,0.393951,393951171474,620709003,620769092,35997,36000,0.761920,1.312474,92009050,2897,0.000031,58985.141181,192740710,89089018,0.316109,61257.574861,163794719,87195918,0.347407,61797.368813,28912007,1893034,0.061452,36394.753142,47019532,16670347,0.261742,102769.901668
1024,64,rvv,random,euclidean,3072,1000,100,100,1.182808,1182808331509,1401129931,1401302116,44749,44754,1.013423,0.986754,105791341,8764,0.000083,47551.335463,361657390,308979052,0.460725,79064.205435,331873849,305469244,0.479285,79518.712497,29681589,3509742,0.105743,39507.140849,106196251,107668665,0.503442,106524.473667
1024,64,rvv,random,euclidean,32,1000,100,1,0.128834,128834467258,242985853,242990010,30917,30918,0.636511,1.571064,74564599,2792,0.000037,55278.440903,84556963,4806377,0.053785,28605.379730,59142749,4005670,0.063433,27836.696767,25413202,800590,0.030541,32449.537292,2566581,32373,0.012456,82701.441510
1024,64,rvv,random,euclidean,8,1000,100,5,0.121924,121923519410,223665711,223670324,31332,31333,0.654400,1.528118,69884241,2862,0.000041,55573.207897,76470540,3229183,0.040517,28068.672648,53267976,2423984,0.043525,26480.446840,23202562,805070,0.033534,32849.277775,1377928,33024,0.023405,83207.541000
1024,64,rvv,random,euclidean,128,1000,100,50,0.162426,162425523792,302468966,302479193,31020,31021,0.644657,1.551213,85904758,3329,0.000039,50202.700511,106829365,11434067,0.096683,33212.759098,78445806,10389483,0.116952,33411.520307,28379439,1044390,0.035495,31229.430464,9003780,41059,0.004539,78867.052364
1024,64,rvv,random,euclidean,512,1000,100,5,0.221101,221101247444,444128106,444160447,34210,34213,0.597638,1.673255,86925667,2756,0.000032,60945.012337,155005121,39387523,0.202618,42203.867369,125961101,37957355,0.231562,42550.962921,29027028,1430102,0.046955,32991.640347,28713224,179697,0.006219,84117.000234
1024,64,rvv,random,euclidean,64,1000,100,5,0.145490,145489744148,264229175,264235374,32084,32085,0.661008,1.512841,80536695,3541,0.000044,47770.115222,92727589,6891552,0.069179,29842.224444,66063421,5993764,0.083181,29536.820597,26662116,897650,0.032571,31879.234202,5841863,34069,0.005798,81208.448795
1024,64,rvv,random,euclidean,4096,1000,100,5,1.544837,1544836617247,1691327300,1691555441,49690,49696,1.096503,0.911990,110729954,7726,0.000070,50919.955216,287836612,522754810,0.644905,63515.134239,261077006,517136512,0.664518,63805.787842,26629525,5612377,0.174071,36775.708297,228063039,136004198,0.373569,97113.283398
