vlen,elen,workload_type,dataset_type,distance_type,dimension,num_points,num_queries,top_k,SimSecond,SimTick,SimIns,SimOp,HstInsRate,HstOpRate,CPU_CPI,CPU_IPC,L1i_TotHits,L1i_TotMisses,L1i_TotMissRate,L1i_TotAvgMissLat,L1d_TotHits,L1d_TotMisses,L1d_TotMissRate,L1d_TotAvgMissLat,L1d_ReadReqHits,L1d_ReadReqMisses,L1d_ReadReqMissRate,L1d_ReadReqAvgMissLat,L1d_WriteReqHits,L1d_WriteReqMisses,L1d_WriteReqMissRate,L1d_WriteReqAvgMissLat,L2_TotHits,L2_TotMisses,L2_TotMissRate,L2_TotAvgMissLat
1024,64,rv,random,euclidean,4096,1000,100,100,1.596667,1596667253363,1898354883,1898583024,106907,106920,1.009699,0.990394,115944435,6016,0.000052,49507.283577,317212319,537323475,0.628790,61014.561113,289530668,531171622,0.647216,61410.022740,27551989,6145513,0.182373,26876.453683,231091605,149426367,0.392692,101167.235904
1024,64,rvv,random,euclidean,3072,1000,100,100,1.159228,1159227519275,1401129796,1401301981,99842,99854,0.993220,1.006827,99529745,5226,0.000053,54389.671833,361681836,305768143,0.458114,75592.086702,331848973,302307652,0.476708,76097.160527,29730911,3460425,0.104257,31469.003812,104663366,107612729,0.506947,107073.389590
1024,64,rv,random,euclidean,2048,1000,100,100,0.788549,788549124965,1088967288,1089083421,105432,105444,0.869298,1.150353,106229347,6745,0.000063,46429.653966,282987179,201191985,0.415532,72122.813882,252989143,198223853,0.439313,72760.479927,29930068,2968066,0.090220,29536.906280,76346358,65057911,0.460084,106568.752272
1024,64,rv,random,euclidean,64,1000,100,100,0.137672,137671843393,270503459,270509658,80052,80054,0.610980,1.636714,85952017,2591,0.000030,55325.538788,95754903,8584401,0.082274,18825.090973,67796330,7671065,0.101647,18463.597816,27956547,913172,0.031631,21858.445957,7753746,33989,0.004364,80379.440643
1024,64,rv,random,euclidean,1024,1000,100,100,0.397364,397363693419,675000848,675060937,98922,98931,0.706706,1.415015,100279990,3430,0.000034,55208.957143,201178204,93737917,0.317846,57974.345362,170972608,91674976,0.349042,58678.825146,30171612,2062875,0.063996,26667.908843,48080164,19589708,0.289489,103258.486960
1024,64,rv,random,euclidean,128,1000,100,100,0.151183,151183044250,305094561,305104788,78962,78965,0.594872,1.681034,89087283,2622,0.000029,55770.334859,108111039,13566329,0.111494,22271.955515,78957674,12562768,0.137267,22309.758782,29149437,1003175,0.033270,21790.564768,11383683,41216,0.003608,79465.846322
1024,64,rvv,random,euclidean,2048,1000,100,100,0.794226,794225630954,1035234919,1035351052,98783,98794,0.921001,1.085775,96183612,2840,0.000030,58871.981690,283771487,200422377,0.413930,72549.313552,253583766,197643586,0.438013,73138.880698,30119753,2778725,0.084464,30615.943883,75585497,65005603,0.462374,106690.705269
1024,64,rvv,random,euclidean,4096,1000,100,100,1.601788,1601787675208,1782358597,1782586738,99253,99266,1.078859,0.926905,105574303,4067,0.000039,53328.590361,319421667,534977121,0.626145,61356.430686,291397261,529169017,0.644883,61726.314664,27894625,5801883,0.172181,27665.161078,228797795,149307970,0.394884,101380.760803
1024,64,rv,random,euclidean,256,1000,100,100,0.169293,169292741639,362832763,362851182,84694,84698,0.560127,1.785308,93215035,2599,0.000028,57060.980762,128276012,21732046,0.144873,27822.765569,98413428,20495381,0.172362,28180.637305,29854138,1236549,0.039772,21890.990624,16896388,56145,0.003312,85243.235052
1024,64,rvv,random,euclidean,16,1000,100,100,0.119189,119188597983,238328094,238332577,84975,84977,0.600364,1.665657,70572442,2655,0.000038,54188.610923,80337960,3918282,0.046504,16758.918703,55392430,3147032,0.053759,15167.396438,24945477,771047,0.029983,23251.802327,1883979,32639,0.017029,81139.182420
1024,64,rvv,random,euclidean,1024,1000,100,100,0.405346,405346325755,652801508,652861597,95171,95179,0.745418,1.341529,91604749,2851,0.000031,58471.282357,202405290,93018217,0.314864,58904.473133,172094273,91060181,0.346033,59584.000667,30277033,1957970,0.060740,27302.386106,47136751,19598149,0.293672,103651.939998
