vlen,elen,workload_type,dataset_type,distance_type,dimension,num_points,num_queries,top_k,SimSecond,SimTick,SimIns,SimOp,HstInsRate,HstOpRate,CPU_CPI,CPU_IPC,L1i_TotHits,L1i_TotMisses,L1i_TotMissRate,L1i_TotAvgMissLat,L1d_TotHits,L1d_TotMisses,L1d_TotMissRate,L1d_TotAvgMissLat,L1d_ReadReqHits,L1d_ReadReqMisses,L1d_ReadReqMissRate,L1d_ReadReqAvgMissLat,L1d_WriteReqHits,L1d_WriteReqMisses,L1d_WriteReqMissRate,L1d_WriteReqAvgMissLat,L2_TotHits,L2_TotMisses,L2_TotMissRate,L2_TotAvgMissLat
512,64,rv,random,euclidean,4096,1000,100,100,1.725884,1725883556159,3518489253,3518941512,171346,171368,0.588858,1.698204,121395214,8646,0.000071,46503.289614,394636557,699399324,0.639284,42707.073859,366534782,693547459,0.654239,42758.135607,28086252,5851516,0.172419,36656.201050,243736901,149948899,0.380885,80539.724731
512,64,rvv,random,euclidean,16,1000,100,5,0.119228,119228027205,225875934,225880647,105553,105555,0.633670,1.578108,71137773,2697,0.000038,56055.618465,78421283,3931552,0.047740,28080.546460,54595857,3159325,0.054702,26916.812918,23825371,772220,0.031394,32841.459808,1766818,32934,0.018299,82961.454394
512,64,rvv,random,euclidean,512,1000,100,1,0.248771,248770709397,672873098,672933557,106571,106581,0.443835,2.253092,81313333,2734,0.000034,59967.468910,163843504,47475175,0.224662,26235.536775,134789138,46047588,0.254636,26041.640668,29052382,1427587,0.046837,32489.760208,27182000,182425,0.006667,80664.543593
512,64,rvv,random,euclidean,1024,1000,100,10,0.427879,427879323949,1082531442,1082647649,115246,115259,0.474500,2.107484,84906818,2803,0.000033,60805.136639,216973569,111827287,0.340106,36079.999319,187999949,109931649,0.368983,36083.503282,28969652,1895638,0.061416,35876.797871,45614719,16732400,0.268375,82215.380381
512,64,rv,random,euclidean,512,1000,100,50,0.245821,245820751519,658599974,658660433,117027,117038,0.448076,2.231763,91344355,2693,0.000029,58914.102859,170383562,51440031,0.231896,28150.382306,140718974,49966648,0.262037,28020.156964,29662604,1473383,0.047321,32566.697569,30038983,203536,0.006730,81452.070612
512,64,rv,random,euclidean,32,1000,100,1,0.130344,130344262265,246648439,246654714,100706,100708,0.634408,1.576273,79138446,2808,0.000035,54289.173077,84348179,6140257,0.067857,29074.967759,58977130,5295495,0.082391,28576.650645,25370929,844758,0.032223,32198.575971,4098468,33973,0.008221,81895.721220
512,64,rv,random,euclidean,512,1000,100,5,0.238893,238892658032,640854363,640914822,99131,99140,0.447506,2.234609,89453102,2651,0.000030,58398.610336,165948617,49340277,0.229182,28222.431506,136900852,47898738,0.259193,28088.201695,29045781,1441539,0.047283,32682.552617,28773571,184606,0.006375,81481.689116
512,64,rv,random,euclidean,4096,1000,100,50,1.675971,1675971067477,3442045709,3442497968,166356,166378,0.584527,1.710784,117534702,5567,0.000047,50875.546075,384649155,684374717,0.640187,42471.284595,357155306,678696946,0.655206,42519.240467,27478324,5677424,0.171235,36739.715345,241216572,144359719,0.374400,80466.019422
512,64,rv,random,euclidean,4096,1000,100,5,1.614674,1614673605440,3335800536,3336252795,168682,168705,0.581085,1.720919,115130954,7589,0.000066,46923.947029,372234057,663590080,0.640640,42108.864177,345261424,658063639,0.655883,42151.978314,26957096,5526106,0.170122,36975.893833,237113951,136393685,0.365170,80439.873741
512,64,rvv,random,euclidean,16,1000,100,20,0.119842,119842184777,227030695,227035408,102714,102716,0.633695,1.578047,71488032,2675,0.000037,56044.862804,78870864,3952392,0.047721,28074.747375,54913364,3177044,0.054691,26928.427343,23957444,775342,0.031349,32771.419316,1781876,32883,0.018120,82837.023903
512,64,rvv,random,euclidean,8,1000,100,20,0.120670,120669575355,222014987,222019830,102663,102666,0.652485,1.532602,70788166,2940,0.000042,54334.550000,77044319,3374964,0.041967,27644.090126,53707035,2582842,0.045885,25996.113020,23337284,792122,0.032828,33017.586233,1385452,33444,0.023570,82969.258283
512,64,rv,random,euclidean,128,1000,100,1,0.156708,156708483190,335179455,335197800,102411,102417,0.561268,1.781681,86828946,2628,0.000030,56400.883181,106721066,14050055,0.116336,30983.269405,78965870,13015191,0.141499,30935.306660,27754718,1034846,0.035945,31586.061893,9843035,41538,0.004202,79635.274568
512,64,rvv,random,euclidean,3072,1000,100,100,1.248656,1248655555413,2883243607,2883583910,155694,155712,0.519896,1.923462,99924502,3614,0.000036,56394.607084,442770657,400127410,0.474704,44766.232272,412862501,396652428,0.489988,44812.672245,29896252,3474982,0.104131,39465.333443,104848628,107922731,0.507224,83011.418982
512,64,rvv,random,euclidean,32,1000,100,1,0.128514,128513890540,250312508,250318783,104932,104934,0.616343,1.622473,74080660,2858,0.000039,53233.013646,84788117,5350278,0.059356,28297.007995,59383839,4538645,0.071002,27552.805927,25404158,811629,0.030960,32457.717530,2553392,32871,0.012710,82214.938304
512,64,rv,random,euclidean,2048,1000,100,1,0.790439,790439297760,1805554589,1805782840,130446,130462,0.525549,1.902774,99752435,3227,0.000032,57705.965293,322040182,248585012,0.435636,43999.472720,293094475,245951367,0.456272,44056.572544,28937771,2633645,0.083419,38667.022867,76122802,58501155,0.434552,84756.078862
512,64,rv,random,euclidean,512,1000,100,1,0.238860,238859601260,640778956,640839415,103310,103320,0.447496,2.234655,89434983,2653,0.000030,58487.087071,165921355,49338004,0.229203,28222.141063,136884738,47896918,0.259208,28087.930165,29034633,1441086,0.047286,32682.866112,28772383,184599,0.006375,81458.963201
512,64,rv,random,euclidean,64,1000,100,20,0.143246,143246319377,280833451,280843768,92367,92370,0.612336,1.633091,83213712,2874,0.000035,53277.219207,93729718,9022663,0.087810,29950.457261,66928577,8101418,0.107976,29717.648638,26800901,921237,0.033231,31997.013456,7062280,35535,0.005006,82131.708231
512,64,rv,random,euclidean,128,1000,100,5,0.156733,156732549393,335254855,335273200,98827,98832,0.561228,1.781808,86846491,2619,0.000030,56773.132493,106748154,14050919,0.116316,30983.080092,78980992,13016421,0.141487,30934.896714,27766684,1034480,0.035918,31588.918989,9843789,41537,0.004202,79640.139490
512,64,rvv,random,euclidean,8,1000,100,5,0.120148,120148287287,220997660,221002503,103594,103596,0.652657,1.532199,70569591,2912,0.000041,55496.050481,76612458,3365405,0.042079,27658.861714,53401110,2568846,0.045897,25988.913131,23211348,796559,0.033179,33044.326867,1374950,33637,0.023880,82848.532806
512,64,rv,random,euclidean,3072,1000,100,50,1.193764,1193763531842,2635275919,2635616222,161778,161798,0.543810,1.838877,106780301,4043,0.000038,55373.175365,432590806,394136861,0.476743,46125.894104,403351292,390769100,0.492078,46182.218034,29227610,3367761,0.103320,39590.498267,105803825,103908252,0.495481,84865.061673
512,64,rvv,random,euclidean,128,1000,100,50,0.166522,166521669678,352921979,352940324,100177,100182,0.566431,1.765440,84007353,2798,0.000033,54812.471766,108691381,12994129,0.106785,29185.048195,80300937,11952567,0.129562,29000.495935,28389965,1041545,0.035389,31302.097814,9008583,41415,0.004576,78079.343306
512,64,rv,random,euclidean,2048,1000,100,100,0.848466,848465645433,1901627242,1901855493,144893,144910,0.535629,1.866965,104736424,3169,0.000030,58533.955822,340419515,261918939,0.434837,45122.485695,310159564,259152606,0.455203,45192.015211,30252015,2766333,0.083782,38608.897081,76513083,65308580,0.460498,84803.086040
