board.processor.cores.core.cpi,board.processor.cores.core.ipc,core_type,dataset_type,dimension,distance_type,elen,hostInstRate,hostOpRate,num_points,num_queries,simInsts,simOps,simSeconds,simTicks,top_k,vlen
0.359533,2.781387,rv,random,4096,euclidean,64,215593,215621,1000,100,6758757717,6759658220,2.024186,2024185920799,100,256
0.613575,1.629792,rvv,random,16,euclidean,64,102406,102409,1000,100,235197959,235205142,0.120212,120211589456,5,256
0.344393,2.903660,rvv,random,512,euclidean,64,143443,143459,1000,100,1082721472,1082838175,0.310610,310610384462,1,256
0.345710,2.892598,rvv,random,1024,euclidean,64,171412,171433,1000,100,1900316624,1900545075,0.547246,547246405510,10,256
0.349810,2.858691,rv,random,512,euclidean,64,155607,155624,1000,100,1051876471,1051993174,0.306509,306508508369,50,256
0.603411,1.657245,rv,random,32,euclidean,64,105935,105939,1000,100,265698604,265709123,0.133551,133551143999,1,256
0.349685,2.859719,rv,random,512,euclidean,64,111692,111705,1000,100,1021496165,1021612868,0.297549,297548886985,5,256
0.357919,2.793932,rv,random,4096,euclidean,64,207793,207822,1000,100,6612149978,6613050481,1.971387,1971387117105,50,256
0.356327,2.806415,rv,random,4096,euclidean,64,213445,213475,1000,100,6404953205,6405853708,1.901118,1901118050979,5,256
0.613876,1.628993,rvv,random,16,euclidean,64,102464,102467,1000,100,236448594,236455777,0.120910,120910062455,20,256
0.651798,1.534217,rvv,random,8,euclidean,64,99254,99257,1000,100,222015174,222020485,0.120543,120542662807,20,256
0.493909,2.024666,rv,random,128,euclidean,64,109574,109582,1000,100,422525283,422557872,0.173838,173837809551,1,256
0.338810,2.951509,rvv,random,3072,euclidean,64,213704,213730,1000,100,5487147812,5487824359,1.548629,1548629447841,100,256
0.584219,1.711688,rvv,random,32,euclidean,64,102706,102710,1000,100,270827882,270838401,0.131800,131799519929,1,256
0.348845,2.866602,rv,random,2048,euclidean,64,161608,161630,1000,100,3346296074,3346748569,0.972393,972393459471,1,256
0.349675,2.859797,rv,random,512,euclidean,64,128030,128045,1000,100,1021420765,1021537468,0.297519,297518816518,1,256
0.555564,1.799973,rv,random,64,euclidean,64,102207,102213,1000,100,322115273,322133834,0.149070,149069998973,20,256
0.493872,2.024815,rv,random,128,euclidean,64,106319,106327,1000,100,422600690,422633279,0.173856,173856073909,5,256
0.652606,1.532317,rvv,random,8,euclidean,64,99287,99290,1000,100,220997885,221003196,0.120139,120139096798,5,256
0.346648,2.884775,rv,random,3072,euclidean,64,191759,191785,1000,100,5000336458,5001013005,1.443884,1443884126902,50,256
0.510439,1.959097,rvv,random,128,euclidean,64,108892,108900,1000,100,450354711,450387300,0.191489,191488964597,50,256
0.352236,2.839009,rv,random,2048,euclidean,64,157395,157415,1000,100,3526946420,3527398915,1.034849,1034849366278,100,256
0.629089,1.589599,rv,random,16,euclidean,64,103033,103036,1000,100,233084408,233091591,0.122144,122143541366,20,256
0.629062,1.589667,rv,random,16,euclidean,64,99906,99909,1000,100,231867932,231875115,0.121501,121500871870,5,256
0.344403,2.903578,rvv,random,512,euclidean,64,129692,129706,1000,100,1082796872,1082913575,0.310641,310640820616,5,256
0.558082,1.791850,rv,random,64,euclidean,64,100134,100139,1000,100,335724024,335742585,0.156072,156072268611,100,256
0.354638,2.819776,rv,random,1024,euclidean,64,161438,161459,1000,100,1780717689,1780946140,0.526048,526048201518,5,256
