dimension	avg_index_time(ms)_rv	avg_index_time(ms)_rvv	index_time_ratio	index_time_reduction_%	avg_search_time(ms)_rv	avg_search_time(ms)_rvv	search_time_ratio	search_time_reduction_%	source_file
8	8648.435000	8509.137000	0.983893	1.610673	588.184000	539.387000	0.917038	8.296213	c906fdv
16	10923.280000	10387.010000	0.950906	4.909423	910.694000	822.104000	0.902723	9.727746	c906fdv
32	15133.201000	14604.190000	0.965043	3.495698	1300.867000	1276.949000	0.981614	1.838620	c906fdv
64	20824.405000	21526.471000	1.033714	-3.371362	1829.960000	1947.693000	1.064336	-6.433638	c906fdv
128	31015.834000	31577.619000	1.018113	-1.811285	2648.978000	2716.027000	1.025311	-2.531127	c906fdv
256	51055.570000	51053.538000	0.999960	0.003980	4257.845000	4270.758000	1.003033	-0.303275	c906fdv
512	92957.575000	92027.066000	0.989990	1.001004	7431.835000	7309.460000	0.983534	1.646632	c906fdv
1024	173069.950000	170489.722000	0.985091	1.490858	13805.177000	13529.673000	0.980043	1.995657	c906fdv
2048	339395.095000	333876.059000	0.983739	1.626139	26362.686000	25841.083000	0.980214	1.978565	c906fdv
3072	495008.328000	486500.066000	0.982812	1.718812	38653.251000	37848.311000	0.979175	2.082464	c906fdv
4096	651092.333000	636604.428000	0.977748	2.225169	50712.012000	49289.474000	0.971949	2.805130	c906fdv
8	6358.226000	6293.698000	0.989851	1.014874	354.637000	352.881000	0.995048	0.495154	c907fdvm
16	7909.219000	7385.651000	0.933803	6.619718	553.451000	521.468000	0.942212	5.778831	c907fdvm
32	10777.477000	9820.617000	0.911217	8.878330	850.835000	757.386000	0.890168	10.983211	c907fdvm
64	16239.389000	14360.201000	0.884282	11.571790	1345.822000	1190.502000	0.884591	11.540902	c907fdvm
128	27378.461000	22776.578000	0.831916	16.808406	2365.064000	1971.004000	0.833383	16.661706	c907fdvm
256	50838.751000	40973.632000	0.805953	19.404723	4310.355000	3523.405000	0.817428	18.257197	c907fdvm
512	96955.144000	76475.191000	0.788769	21.123122	7590.451000	5967.499000	0.786185	21.381496	c907fdvm
1024	180216.115000	139765.631000	0.775545	22.445542	14642.523000	11395.431000	0.778242	22.175768	c907fdvm
2048	348713.848000	266916.322000	0.765431	23.456919	27449.499000	21197.176000	0.772225	22.777549	c907fdvm
3072	498579.511000	376904.050000	0.755956	24.404425	38974.764000	29502.407000	0.756962	24.303821	c907fdvm
4096	652246.548000	488511.334000	0.748967	25.103270	50712.376000	37799.956000	0.745379	25.462069	c907fdvm
8	5441.765000	5399.555000	0.992243	0.775667	317.032000	314.240000	0.991193	0.880668	c908v
16	6672.908000	6396.675000	0.958604	4.139619	479.714000	463.065000	0.965294	3.470610	c908v
32	9550.894000	8633.072000	0.903902	9.609802	768.522000	688.257000	0.895559	10.444073	c908v
64	14617.834000	12254.753000	0.838343	16.165740	1223.152000	1011.277000	0.826780	17.322050	c908v
128	24427.841000	19364.212000	0.792711	20.728926	1999.798000	1565.689000	0.782924	21.707642	c908v
256	44589.182000	33330.866000	0.747510	25.248985	3596.673000	2679.270000	0.744930	25.506989	c908v
512	87531.959000	63978.418000	0.730915	26.908504	6879.725000	5104.721000	0.741995	25.800508	c908v
1024	168192.854000	121376.936000	0.721653	27.834665	13450.096000	9702.328000	0.721358	27.864247	c908v
2048	334174.604000	238696.129000	0.714286	28.571434	25986.343000	18491.312000	0.711578	28.842192	c908v
3072	480942.643000	340361.161000	0.707696	29.230405	37275.247000	26347.472000	0.706836	29.316439	c908v
4096	636263.475000	449459.124000	0.706404	29.359591	49430.442000	34769.748000	0.703408	29.659241	c908v
8	3645.792000	3844.865000	1.054603	-5.460350	210.730000	212.250000	1.007213	-0.721302	c920v2
16	4012.979000	4238.689000	1.056245	-5.624500	267.681000	273.161000	1.020472	-2.047213	c920v2
32	5473.417000	5151.897000	0.941258	5.874210	398.422000	368.097000	0.923887	7.611276	c920v2
64	7394.063000	6399.133000	0.865442	13.455796	575.687000	479.435000	0.832805	16.719502	c920v2
128	11067.562000	9596.916000	0.867121	13.287895	852.059000	704.296000	0.826581	17.341874	c920v2
256	18410.766000	15032.064000	0.816482	18.351773	1428.977000	1084.420000	0.758879	24.112145	c920v2
512	33533.452000	26443.237000	0.788563	21.143707	2587.038000	1886.558000	0.729235	27.076525	c920v2
1024	63704.370000	49086.344000	0.770533	22.946661	5091.960000	3606.309000	0.708236	29.176408	c920v2
2048	124246.781000	94491.068000	0.760511	23.948880	9606.785000	6670.533000	0.694356	30.564356	c920v2
3072	181910.152000	137344.899000	0.755015	24.498497	14242.665000	9833.365000	0.690416	30.958392	c920v2
4096	241659.316000	182588.103000	0.755560	24.444004	18991.290000	13103.987000	0.690000	31.000016	c920v2
8	3600.391000	3780.352000	1.049984	-4.998374	217.222000	211.479000	0.973562	2.643839	c920v3
16	3981.186000	4130.499000	1.037505	-3.750465	277.150000	269.053000	0.970785	2.921523	c920v3
32	5451.512000	5088.530000	0.933416	6.658373	400.425000	367.808000	0.918544	8.145595	c920v3
64	7359.452000	6421.299000	0.872524	12.747593	566.073000	477.873000	0.844190	15.581029	c920v3
128	11045.703000	9599.507000	0.869072	13.092838	855.418000	697.644000	0.815559	18.444082	c920v3
256	18326.156000	15044.734000	0.820943	17.905675	1434.881000	1065.343000	0.742461	25.753913	c920v3
512	33416.209000	26396.332000	0.789926	21.007401	2558.297000	1837.744000	0.718347	28.165338	c920v3
1024	63392.749000	49074.101000	0.774128	22.587202	5061.025000	3508.088000	0.693158	30.684239	c920v3
2048	123836.404000	94492.445000	0.763043	23.695745	9552.273000	6487.497000	0.679157	32.084259	c920v3
3072	181351.196000	137241.084000	0.756770	24.323033	14170.563000	9551.002000	0.674003	32.599700	c920v3
4096	240733.860000	182140.593000	0.756606	24.339437	18910.856000	12696.237000	0.671373	32.862706	c920v3
