workload_type,dimension,topk,avg_index_time(ms),avg_search_time(ms)
rv,8,100,8648.435,588.184
rv,16,100,10923.280,910.694
rv,32,100,15133.201,1300.867
rv,64,100,20824.405,1829.960
rv,128,100,31015.834,2648.978
rv,256,100,51055.570,4257.845
rv,512,100,92957.575,7431.835
rv,1024,100,173069.950,13805.177
rv,2048,100,339395.095,26362.686
rv,3072,100,495008.328,38653.251
rv,4096,100,651092.333,50712.012
rvv,8,100,8509.137,539.387
rvv,16,100,10387.010,822.104
rvv,32,100,14604.190,1276.949
rvv,64,100,21526.471,1947.693
rvv,128,100,31577.619,2716.027
rvv,256,100,51053.538,4270.758
rvv,512,100,92027.066,7309.460
rvv,1024,100,170489.722,13529.673
rvv,2048,100,333876.059,25841.083
rvv,3072,100,486500.066,37848.311
rvv,4096,100,636604.428,49289.474
