workload_type,dimension,topk,avg_index_time(ms),avg_search_time(ms)
rv,8,100,6358.226,354.637
rv,16,100,7909.219,553.451
rv,32,100,10777.477,850.835
rv,64,100,16239.389,1345.822
rv,128,100,27378.461,2365.064
rv,256,100,50838.751,4310.355
rv,512,100,96955.144,7590.451
rv,1024,100,180216.115,14642.523
rv,2048,100,348713.848,27449.499
rv,3072,100,498579.511,38974.764
rv,4096,100,652246.548,50712.376
rvv,8,100,6293.698,352.881
rvv,16,100,7385.651,521.468
rvv,32,100,9820.617,757.386
rvv,64,100,14360.201,1190.502
rvv,128,100,22776.578,1971.004
rvv,256,100,40973.632,3523.405
rvv,512,100,76475.191,5967.499
rvv,1024,100,139765.631,11395.431
rvv,2048,100,266916.322,21197.176
rvv,3072,100,376904.050,29502.407
rvv,4096,100,488511.334,37799.956
