workload_type,dimension,topk,avg_index_time(ms),avg_search_time(ms)
rv,8,100,3600.391,217.222
rv,16,100,3981.186,277.150
rv,32,100,5451.512,400.425
rv,64,100,7359.452,566.073
rv,128,100,11045.703,855.418
rv,256,100,18326.156,1434.881
rv,512,100,33416.209,2558.297
rv,1024,100,63392.749,5061.025
rv,2048,100,123836.404,9552.273
rv,3072,100,181351.196,14170.563
rv,4096,100,240733.860,18910.856
rvv,8,100,3780.352,211.479
rvv,16,100,4130.499,269.053
rvv,32,100,5088.530,367.808
rvv,64,100,6421.299,477.873
rvv,128,100,9599.507,697.644
rvv,256,100,15044.734,1065.343
rvv,512,100,26396.332,1837.744
rvv,1024,100,49074.101,3508.088
rvv,2048,100,94492.445,6487.497
rvv,3072,100,137241.084,9551.002
rvv,4096,100,182140.593,12696.237
