workload_type,dimension,topk,avg_index_time(ms),avg_search_time(ms)
rv,8,100,4880.881,284.683
rv,16,100,5902.203,430.297
rv,32,100,8558.796,701.631
rv,64,100,13190.398,1102.823
rv,128,100,21804.961,1786.774
rv,256,100,39418.161,3200.553
rv,512,100,77092.561,6260.852
rv,1024,100,148157.835,11983.093
rv,2048,100,291497.726,23102.702
rv,3072,100,428083.919,33717.248
rv,4096,100,568668.106,44787.883
rvv,8,100,4879.883,304.711
rvv,16,100,5748.387,419.260
rvv,32,100,8037.891,663.135
rvv,64,100,11729.439,976.993
rvv,128,100,18731.485,1529.999
rvv,256,100,32428.149,2614.089
rvv,512,100,62386.565,5122.310
rvv,1024,100,119223.788,9661.188
rvv,2048,100,232768.539,18434.067
rvv,3072,100,340678.603,26721.210
rvv,4096,100,450957.883,35287.842
