workload_type,dimension,topk,M,ef,avg_index_time(ms),avg_search_time(ms)
base,384,100,8,100,768780.290,41477.669
base,384,100,8,128,934426.255,42066.065
base,384,100,8,200,1336293.252,43197.810
base,384,100,8,256,1633698.169,43522.182
base,384,100,8,300,1854399.332,43833.660
base,384,100,8,400,2338019.350,43890.423
base,384,100,8,512,2856150.359,44101.514
base,384,100,16,100,1098629.709,60210.804
base,384,100,16,128,1422490.313,64718.206
base,384,100,16,200,2200496.085,71271.014
base,384,100,16,256,2755076.305,74206.427
base,384,100,16,300,3166378.085,75853.603
base,384,100,16,400,4027131.622,77899.244
base,384,100,16,512,4919843.514,80058.459
base,384,100,32,100,1224972.124,71775.709
base,384,100,32,128,1638062.356,79277.940
base,384,100,32,200,2731173.677,93715.960
base,384,100,32,256,3581159.601,101580.230
base,384,100,32,300,4232893.384,106737.440
base,384,100,32,400,5685924.420,115213.055
base,384,100,32,512,7241949.456,123197.189
base,384,100,64,100,1270993.268,77686.168
base,384,100,64,128,1722161.142,86963.721
base,384,100,64,200,2916940.391,104565.136
base,384,100,64,256,3866910.335,115390.832
base,384,100,64,300,4620573.550,121964.594
base,384,100,64,400,6293076.100,135049.450
base,384,100,64,512,8057186.585,145085.067
base,384,100,128,100,1727863.721,86373.452
base,384,100,128,128,1732897.457,86545.044
base,384,100,128,200,2945707.482,105098.557
base,384,100,128,256,3914796.725,116174.640
base,384,100,128,300,4675945.735,123601.992
base,384,100,128,400,6376737.341,137787.932
base,384,100,128,512,8251414.592,149883.668
