metric,value
SimSecond,2.107057
SimTick,2107056608000
SimIns,3188972055
SimOp,3189079266
HstInsRate,270540
HstOpRate,270549
L1d_TotHits,1018549726
L1d_TotMisses,97913274
L1d_TotMissRate,0.087700
L1d_TotAvgMissLat,35713.897106
L1d_ReadReqHits,726948072
L1d_ReadReqMisses,90551826
L1d_ReadReqMissRate,0.110767
L1d_ReadReqAvgMissLat,37465.419217
L1d_WriteReqHits,291601654
L1d_WriteReqMisses,7361448
L1d_WriteReqMissRate,0.024623
L1d_WriteReqAvgMissLat,14168.743833
L1i_TotHits,961130834
L1i_TotMisses,2536
L1i_TotMissRate,0.000003
L1i_TotAvgMissLat,66639.589905
L1i_ReadReqHits,961130834
L1i_ReadReqMisses,2536
L1i_ReadReqMissRate,0.000003
L1i_ReadReqAvgMissLat,66639.589905
L2_TotHits,38753757
L2_TotMisses,14363909
L2_TotMissRate,0.270417
L2_TotAvgMissLat,87669.704024
CPU_CPI,0.660732
CPU_IPC,1.513472
