metric,m5out-rv,m5out-rvv
SimSecond,2.107057,2.101555
SimTick,2107056608000,2101555492000
SimIns,3188972055,3259551622
SimOp,3189079266,3259658833
HstInsRate,270540,272129
HstOpRate,270549,272138
CPU_CPI,0.660732,0.644738
CPU_IPC,1.513472,1.551019
L1i_TotHits,961130834,1048627652
L1i_TotMisses,2536,2535
L1i_TotMissRate,0.000003,0.000002
L1i_TotAvgMissLat,66639.589905,64843.392505
L1d_TotHits,1018549726,1032379896
L1d_TotMisses,97913274,84378116
L1d_TotMissRate,0.087700,0.075556
L1d_TotAvgMissLat,35713.897106,34495.999697
L1d_ReadReqHits,726948072,740512212
L1d_ReadReqMisses,90551826,77282585
L1d_ReadReqMissRate,0.110767,0.094501
L1d_ReadReqAvgMissLat,37465.419217,36382.378708
L1d_WriteReqHits,291601654,291867684
L1d_WriteReqMisses,7361448,7095531
L1d_WriteReqMissRate,0.024623,0.023734
L1d_WriteReqAvgMissLat,14168.743833,13950.074907
L2_TotHits,38753757,29874384
L2_TotMisses,14363909,10627654
L2_TotMissRate,0.270417,0.262398
L2_TotAvgMissLat,87669.704024,85792.520313
