workload_type,dimension,topk,M,ef,avg_index_time(ms),avg_search_time(ms)
avx,384,100,8,100,23376.793,1510.889
avx,384,100,8,128,28664.977,1513.309
avx,384,100,8,200,42101.941,1534.011
avx,384,100,8,256,50730.524,1491.279
avx,384,100,8,300,58888.848,1518.189
avx,384,100,8,400,75551.625,1522.009
avx,384,100,8,512,96681.708,1582.097
avx,384,100,16,100,31755.231,2094.356
avx,384,100,16,128,41901.298,2266.371
avx,384,100,16,200,65332.927,2459.933
avx,384,100,16,256,81052.610,2492.373
avx,384,100,16,300,95189.628,2591.313
avx,384,100,16,400,123203.682,2741.567
avx,384,100,16,512,148513.359,2634.338
avx,384,100,32,100,33977.744,2358.829
avx,384,100,32,128,45744.600,2598.905
avx,384,100,32,200,77631.171,3073.083
avx,384,100,32,256,104230.782,3391.357
avx,384,100,32,300,121117.378,3435.953
avx,384,100,32,400,165110.650,3742.868
avx,384,100,32,512,218940.204,4091.941
avx,384,100,64,100,36291.467,2569.248
avx,384,100,64,128,49441.732,2871.842
avx,384,100,64,200,84009.876,3401.400
avx,384,100,64,256,111897.427,3718.856
avx,384,100,64,300,135030.546,3957.148
avx,384,100,64,400,190303.329,4476.663
avx,384,100,64,512,246819.915,4774.367
avx,384,100,128,100,50671.568,2917.326
avx,384,100,128,128,50613.365,2905.205
avx,384,100,128,200,87344.636,3525.742
avx,384,100,128,256,117045.233,3884.801
avx,384,100,128,300,140854.899,4125.096
avx,384,100,128,400,194526.187,4547.913
avx,384,100,128,512,256576.605,4953.367
avx512,384,100,8,100,21493.345,1416.436
avx512,384,100,8,128,27094.267,1452.787
avx512,384,100,8,200,40097.245,1489.355
avx512,384,100,8,256,49113.687,1467.199
avx512,384,100,8,300,56149.000,1454.500
avx512,384,100,8,400,73498.976,1490.327
avx512,384,100,8,512,92708.096,1522.219
avx512,384,100,16,100,28548.750,1920.675
avx512,384,100,16,128,38177.212,2098.822
avx512,384,100,16,200,59877.471,2281.386
avx512,384,100,16,256,76330.884,2374.512
avx512,384,100,16,300,88751.682,2444.040
avx512,384,100,16,400,112251.299,2433.074
avx512,384,100,16,512,142036.569,2543.641
avx512,384,100,32,100,31206.737,2210.239
avx512,384,100,32,128,42602.410,2465.914
avx512,384,100,32,200,73069.831,2949.747
avx512,384,100,32,256,95811.426,3149.921
avx512,384,100,32,300,115106.593,3331.478
avx512,384,100,32,400,152519.965,3489.270
avx512,384,100,32,512,200957.169,3772.142
avx512,384,100,64,100,33881.077,2452.178
avx512,384,100,64,128,46086.215,2725.731
avx512,384,100,64,200,79387.456,3269.155
avx512,384,100,64,256,104960.997,3539.725
avx512,384,100,64,300,124194.536,3687.047
avx512,384,100,64,400,174540.260,4124.971
avx512,384,100,64,512,225557.123,4389.821
avx512,384,100,128,100,45998.814,2681.643
avx512,384,100,128,128,46481.736,2719.384
avx512,384,100,128,200,79243.422,3234.941
avx512,384,100,128,256,104967.109,3508.973
avx512,384,100,128,300,129220.030,3826.698
avx512,384,100,128,400,178805.163,4218.329
avx512,384,100,128,512,239401.551,4666.134
base,384,100,8,100,29825.252,1906.643
base,384,100,8,128,37234.338,1962.950
base,384,100,8,200,53871.311,1984.795
base,384,100,8,256,66468.530,2001.128
base,384,100,8,300,75584.831,1994.139
base,384,100,8,400,98121.167,2037.700
base,384,100,8,512,121154.082,2036.080
base,384,100,16,100,40703.750,2639.474
base,384,100,16,128,55137.056,2978.509
base,384,100,16,200,85670.311,3237.334
base,384,100,16,256,107250.691,3321.085
base,384,100,16,300,124365.966,3413.720
base,384,100,16,400,160241.594,3510.668
base,384,100,16,512,196090.462,3710.827
base,384,100,32,100,46308.434,3217.181
base,384,100,32,128,61326.590,3478.762
base,384,100,32,200,102999.147,4066.163
base,384,100,32,256,137330.253,4468.144
base,384,100,32,300,162502.266,4644.817
base,384,100,32,400,222243.492,5082.936
base,384,100,32,512,287813.451,5415.625
base,384,100,64,100,47677.080,3371.275
base,384,100,64,128,64633.969,3751.836
base,384,100,64,200,110544.487,4476.593
base,384,100,64,256,147642.182,4922.309
base,384,100,64,300,178482.134,5273.648
base,384,100,64,400,246111.453,5778.388
base,384,100,64,512,323627.373,6307.346
base,384,100,128,100,65861.219,3761.539
base,384,100,128,128,66394.052,3793.339
base,384,100,128,200,115342.048,4643.915
base,384,100,128,256,152217.444,5037.473
base,384,100,128,300,183432.639,5367.135
base,384,100,128,400,257441.539,5985.151
base,384,100,128,512,337866.553,6564.327
