dimension	avg_index_time(ms)_rv	avg_index_time(ms)_rvv	index_time_ratio	index_time_reduction_%	avg_search_time(ms)_rv	avg_search_time(ms)_rvv	search_time_ratio	search_time_reduction_%	source_file
8	474.831000	457.189000	0.962846	3.715427	30.481000	27.753000	0.910502	8.949838	c906fdv
16	603.573000	584.366000	0.968178	3.182217	48.935000	46.584000	0.951957	4.804332	c906fdv
32	851.708000	845.420000	0.992617	0.738281	74.965000	75.158000	1.002575	-0.257453	c906fdv
64	1151.661000	1151.680000	1.000016	-0.001650	100.803000	101.424000	1.006161	-0.616053	c906fdv
128	1683.051000	1673.193000	0.994143	0.585722	143.167000	144.132000	1.006740	-0.674038	c906fdv
256	2720.122000	2688.480000	0.988367	1.163257	225.529000	223.625000	0.991558	0.844237	c906fdv
512	4874.236000	4784.266000	0.981542	1.845828	384.036000	375.594000	0.978018	2.198231	c906fdv
1024	8754.132000	8514.838000	0.972665	2.733498	689.813000	666.066000	0.965575	3.442527	c906fdv
2048	16784.628000	16282.312000	0.970073	2.992715	1272.761000	1225.100000	0.962553	3.744694	c906fdv
3072	24458.323000	23695.499000	0.968811	3.118873	1872.590000	1804.519000	0.963649	3.635126	c906fdv
4096	32835.123000	31800.937000	0.968504	3.149633	2532.533000	2444.238000	0.965136	3.486430	c906fdv
8	129.060000	142.278000	1.102417	-10.241748	7.228000	7.655000	1.059076	-5.907582	c910
16	143.791000	147.884000	1.028465	-2.846492	9.646000	10.027000	1.039498	-3.949824	c910
32	188.975000	183.277000	0.969848	3.015214	14.637000	13.510000	0.923003	7.699665	c910
64	248.616000	230.085000	0.925463	7.453663	20.058000	17.697000	0.882291	11.770864	c910
128	399.086000	328.616000	0.823422	17.657848	36.801000	24.367000	0.662129	33.787125	c910
256	580.812000	496.169000	0.854268	14.573218	49.889000	39.685000	0.795466	20.453407	c910
512	1076.236000	876.994000	0.814871	18.512854	93.280000	68.737000	0.736889	26.311106	c910
1024	1964.737000	1562.050000	0.795043	20.495720	168.791000	119.669000	0.708977	29.102263	c910
2048	3753.041000	2970.931000	0.791606	20.839367	306.663000	213.047000	0.694727	30.527322	c910
3072	5481.277000	4253.820000	0.776064	22.393632	444.192000	311.462000	0.701188	29.881223	c910
4096	7247.021000	5617.311000	0.775120	22.487999	588.437000	413.969000	0.703506	29.649393	c910
