workload_type,dimension,topk,avg_index_time(ms),avg_search_time(ms)
rv,8,100,474.831,30.481
rv,16,100,603.573,48.935
rv,32,100,851.708,74.965
rv,64,100,1151.661,100.803
rv,128,100,1683.051,143.167
rv,256,100,2720.122,225.529
rv,512,100,4874.236,384.036
rv,1024,100,8754.132,689.813
rv,2048,100,16784.628,1272.761
rv,3072,100,24458.323,1872.590
rv,4096,100,32835.123,2532.533
rvv,8,100,457.189,27.753
rvv,16,100,584.366,46.584
rvv,32,100,845.420,75.158
rvv,64,100,1151.680,101.424
rvv,128,100,1673.193,144.132
rvv,256,100,2688.480,223.625
rvv,512,100,4784.266,375.594
rvv,1024,100,8514.838,666.066
rvv,2048,100,16282.312,1225.100
rvv,3072,100,23695.499,1804.519
rvv,4096,100,31800.937,2444.238
