workload_type,dimension,topk,M,ef,avg_index_time(ms),avg_search_time(ms)
rv,384,100,8,100,156208.059,8336.337
rv,384,100,8,128,188614.644,8504.054
rv,384,100,8,200,270946.268,8738.340
rv,384,100,8,256,330327.502,8750.423
rv,384,100,8,300,376762.179,8804.124
rv,384,100,8,400,475158.715,8832.410
rv,384,100,8,512,578552.871,8801.175
rv,384,100,16,100,219085.038,11853.884
rv,384,100,16,128,282204.845,12696.184
rv,384,100,16,200,434199.355,13980.124
rv,384,100,16,256,542414.337,14500.252
rv,384,100,16,300,626752.971,14928.543
rv,384,100,16,400,797777.274,15429.185
rv,384,100,16,512,971573.922,15703.087
rv,384,100,32,100,239546.737,14028.244
rv,384,100,32,128,321482.977,15546.306
rv,384,100,32,200,532089.477,18245.533
rv,384,100,32,256,742490.495,19798.484
rv,384,100,32,300,821863.794,20785.940
rv,384,100,32,400,1106558.136,22476.986
rv,384,100,32,512,1403854.600,23950.637
rv,384,100,64,100,245451.362,14974.208
rv,384,100,64,128,333446.647,16976.143
rv,384,100,64,200,560693.260,20278.802
rv,384,100,64,256,746577.479,22371.744
rv,384,100,64,300,887274.367,23624.015
rv,384,100,64,400,1204420.988,25699.162
rv,384,100,64,512,1561670.734,28172.254
rv,384,100,128,100,338533.219,17024.397
rv,384,100,128,128,334392.848,16792.550
rv,384,100,128,200,571886.712,20507.483
rv,384,100,128,256,753878.102,22367.129
rv,384,100,128,300,897872.517,24010.540
rv,384,100,128,400,1229091.115,26733.007
rv,384,100,128,512,1594224.395,29035.507
rvv,384,100,8,100,132435.257,6907.524
rvv,384,100,8,128,160990.065,7038.124
rvv,384,100,8,200,229663.274,7228.621
rvv,384,100,8,256,279169.552,7178.202
rvv,384,100,8,300,321135.438,7306.391
rvv,384,100,8,400,403565.970,7332.685
rvv,384,100,8,512,495886.269,7329.720
rvv,384,100,16,100,183015.398,9826.234
rvv,384,100,16,128,234461.447,10389.003
rvv,384,100,16,200,364685.846,11534.730
rvv,384,100,16,256,456934.062,12056.909
rvv,384,100,16,300,523430.029,12235.039
rvv,384,100,16,400,669237.640,12658.254
rvv,384,100,16,512,817789.062,12931.108
rvv,384,100,32,100,201512.264,11574.299
rvv,384,100,32,128,268616.635,12868.804
rvv,384,100,32,200,443649.303,15059.849
rvv,384,100,32,256,579623.443,16181.716
rvv,384,100,32,300,685641.362,17030.834
rvv,384,100,32,400,924765.399,18501.265
rvv,384,100,32,512,1177575.271,19677.571
rvv,384,100,64,100,206778.781,12463.466
rvv,384,100,64,128,280358.982,13874.831
rvv,384,100,64,200,467920.582,16627.888
rvv,384,100,64,256,617646.435,18371.004
rvv,384,100,64,300,742043.574,19326.836
rvv,384,100,64,400,1012561.840,21456.334
rvv,384,100,64,512,1302033.564,23130.191
rvv,384,100,128,100,279920.419,14054.559
rvv,384,100,128,128,280099.012,13863.667
rvv,384,100,128,200,476943.239,16912.398
rvv,384,100,128,256,629072.488,18709.505
rvv,384,100,128,300,754190.712,19856.284
rvv,384,100,128,400,1024796.441,21998.765
rvv,384,100,128,512,1329377.794,23986.315
