workload_type,dimension,topk,avg_index_time(ms),avg_search_time(ms)
rv,8,100,129.060,7.228
rv,16,100,143.791,9.646
rv,32,100,188.975,14.637
rv,64,100,248.616,20.058
rv,128,100,399.086,36.801
rv,256,100,580.812,49.889
rv,512,100,1076.236,93.280
rv,1024,100,1964.737,168.791
rv,2048,100,3753.041,306.663
rv,3072,100,5481.277,444.192
rv,4096,100,7247.021,588.437
rvv,8,100,142.278,7.655
rvv,16,100,147.884,10.027
rvv,32,100,183.277,13.510
rvv,64,100,230.085,17.697
rvv,128,100,328.616,24.367
rvv,256,100,496.169,39.685
rvv,512,100,876.994,68.737
rvv,1024,100,1562.050,119.669
rvv,2048,100,2970.931,213.047
rvv,3072,100,4253.820,311.462
rvv,4096,100,5617.311,413.969
